id_localidad,nombre,partido,municipio,cp,latitud,longitud
26540,"ASERRADERO ARROYO","RIO GRANDE",,9420,,
26464,"BAHIA LAPATAIA",USHUAIA,,9410,,
5026,"BASE AEREA TENIENTE MATIENZO","ANTARTIDA ARGENTINA","AREA SIN GOBIERNO",9411,,
5027,"BASE AEREA VICECOMOD MARAMBIO","ANTARTIDA ARGENTINA","AREA SIN GOBIERNO",9411,,
5029,"BASE BELGRANO","ANTARTIDA ARGENTINA",,9411,,
27629,"BASE BELGRANO 2","ANTARTIDA ARGENTINA",,9411,,
5030,"BASE BELGRANO 3","ANTARTIDA ARGENTINA",,9411,,
27627,"BASE CIENTIFICA TTE JUBANY","ANTARTIDA ARGENTINA",,9411,,
5028,"BASE EJERCITO ESPERANZA","ANTARTIDA ARGENTINA",,9411,,
5031,"BASE EJERCITO GRAL SAN MARTIN","ANTARTIDA ARGENTINA",,9411,,
5032,"BASE EJERCITO PRIMAVERA","ANTARTIDA ARGENTINA",,9411,,
5033,"BASE EJERCITO SOBRAL","ANTARTIDA ARGENTINA",,9411,,
27628,"BASE ORCADAS","ANTARTIDA ARGENTINA","AREA SIN GOBIERNO",9411,-60.7380621,-44.7366107
26542,"CABAÑA RUBY","RIO GRANDE",,9420,,
26551,"CABO SAN PABLO","RIO GRANDE",,9420,,
26552,"CAMPAMENTO CENTRAL YPF","RIO GRANDE",,9420,,
26554,"CAMPAMENTO LOS CHORRILLOS","RIO GRANDE",,9420,,
26555,"COMISARIA RADMAN","RIO GRANDE",,9420,,
5034,"DESTACAMENTO MELCHIOR","ANTARTIDA ARGENTINA",,9411,-64.3166670,-62.9666670
5042,"EL PARAMO","RIO GRANDE","RIO GRANDE",9420,-53.0596428,-68.2537613
26568,"ESTACION AERONAVAL","RIO GRANDE",,9411,,
5035,"ESTACION CIENTIFICA ALTE BROWN","ANTARTIDA ARGENTINA",,9411,,
26572,"ESTACION OSN","RIO GRANDE",,9420,,
26580,"ESTANCIA AURELIA","RIO GRANDE",,9420,,
26588,"ESTANCIA BUENOS AIRES","RIO GRANDE",,9420,,
26591,"ESTANCIA CARMEN",TOLHUIN,,9420,,
26595,"ESTANCIA CAUCHICO","RIO GRANDE",,9420,,
26598,"ESTANCIA COSTANCIA","RIO GRANDE",,9420,,
26601,"ESTANCIA CULLEN","RIO GRANDE","RIO GRANDE",9420,,
26749,"ESTANCIA DESPEDIDA","RIO GRANDE",,9420,,
26604,"ESTANCIA DOS HEMANAS","RIO GRANDE",,9420,,
26608,"ESTANCIA EL ROBLE","RIO GRANDE",,9420,,
26613,"ESTANCIA EL RODEO","RIO GRANDE",,9420,,
26616,"ESTANCIA EL SALVADOR","RIO GRANDE",,9420,,
26620,"ESTANCIA GUAZU CUE","RIO GRANDE",,9420,,
26467,"ESTANCIA HARBERTON",USHUAIA,USHUAIA,9410,,
26625,"ESTANCIA HERMINITA","RIO GRANDE",,9420,,
26626,"ESTANCIA INES","RIO GRANDE",,9420,,
26628,"ESTANCIA JOSE MENENDEZ","RIO GRANDE",,9420,,
26632,"ESTANCIA LA CRIOLLA","RIO GRANDE",,9420,,
26640,"ESTANCIA LA FUEGUINA",TOLHUIN,,9420,,
26644,"ESTANCIA LA INDIANA",TOLHUIN,,9420,,
26646,"ESTANCIA LA PORTEÑA","RIO GRANDE",,9420,,
26648,"ESTANCIA LAS HIJAS",TOLHUIN,,9420,,
26651,"ESTANCIA LAS VIOLETAS","RIO GRANDE",,9420,,
